rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,15540.430,22.894,16381.05,24.133068
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7514.242,1.118,7920.72,1.178777
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
05-05-17,18.363,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.157,0.100,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rEpsa, rEpsb, rEpsc, rKd, bEpsa, bEpsb, bEpsc, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment

05-05-17,18.449,0.153,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,20.19,4.58,24.77,7.57,7.54,25.87,49,62,1146.296,0.270,75.150,0.111,1071.146,0.159,0.0000,0.153,0.000000,0.000000,

05-05-17,18.533,0.237,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,18.97,4.30,23.27,7.58,7.54,25.87,48,61,1026.248,0.225,54.339,0.080,971.910,0.145,0.0000,0.000,0.000000,0.000000,

05-05-17,18.617,0.321,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,17.77,4.03,21.80,7.62,7.55,25.87,47,60,874.952,0.154,17.612,0.026,857.339,0.128,0.0000,0.084,0.000000,0.000000,

05-05-17,18.701,0.404,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,16.61,3.77,20.38,7.60,7.55,25.87,46,59,750.032,0.110,-1.538,-0.002,751.571,0.112,0.0000,0.168,0.000000,0.000000,

05-05-17,18.785,0.488,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,15.48,3.51,18.99,7.58,7.56,25.87,45,58,625.025,0.087,-4.839,-0.007,629.864,0.094,0.0000,0.252,0.000000,0.000000,

05-05-17,18.869,0.572,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,14.39,3.26,17.65,7.57,7.56,25.87,44,56,496.297,0.063,-8.326,-0.012,504.623,0.075,0.0000,0.335,0.000000,0.000000,

05-05-17,18.952,0.656,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,13.32,3.02,16.34,7.55,7.57,25.87,44,55,378.714,0.048,-6.612,-0.010,385.326,0.057,0.0000,0.419,0.000000,0.000000,

05-05-17,19.036,0.740,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,12.30,2.79,15.08,7.53,7.57,25.87,43,54,287.502,0.038,-3.506,-0.005,291.008,0.043,0.0000,0.503,0.000000,0.000000,

05-05-17,19.120,0.824,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,11.31,2.56,13.87,7.51,7.57,25.87,42,53,233.860,0.067,24.039,0.035,209.821,0.031,0.0000,0.587,0.000000,0.000000,

05-05-17,19.204,0.908,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,10.35,2.35,12.70,7.53,7.57,25.75,41,52,197.963,0.040,8.234,0.012,189.729,0.028,0.0000,0.671,0.000000,0.000000,

05-05-17,19.288,0.991,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,9.44,2.14,11.58,7.55,7.57,25.87,40,50,161.439,0.038,10.844,0.016,150.596,0.022,0.0000,0.755,0.000000,0.000000,

05-05-17,19.372,1.076,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,8.55,1.94,10.49,7.57,7.58,25.87,39,49,130.325,0.034,11.021,0.016,119.303,0.018,0.0000,0.839,0.000000,0.000000,

05-05-17,19.456,1.160,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,7.72,1.75,9.46,7.60,7.58,25.87,38,48,103.280,0.031,11.489,0.017,91.791,0.014,0.0000,0.923,0.000000,0.000000,

05-05-17,19.540,1.244,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,6.92,1.57,8.49,7.62,7.58,25.87,37,47,80.225,0.032,14.876,0.022,65.349,0.010,0.0000,1.007,0.000000,0.000000,

05-05-17,19.624,1.328,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,6.16,1.40,7.56,7.66,7.58,25.87,37,45,55.580,0.018,7.561,0.011,48.020,0.007,0.0000,1.091,0.000000,0.000000,

05-05-17,19.708,1.411,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,5.45,1.23,6.68,7.64,7.58,25.87,36,44,42.138,0.012,4.197,0.006,37.941,0.006,0.0000,1.175,0.000000,0.000000,

05-05-17,19.792,1.495,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,4.77,1.08,5.85,7.62,7.58,25.87,35,43,31.543,0.012,5.714,0.008,25.829,0.004,0.0000,1.258,0.000000,0.000000,

05-05-17,19.875,1.579,3,continuous,15540.43,22.894,7514.24,1.118,0.10740,0.06075,0.00000,0.000600,0.10930,0.17050,0.51890,0.000167,1.298,11.226,10.492,11.226,11.226,135.69,39.70,0.815,4.14,0.94,5.08,7.60,7.58,25.87,34,42,21.861,0.014,8.323,0.012,13.537,0.002,0.0000,1.342,0.000000,0.000000,

