New run. 22-05-17,8.74
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,15180.394,22.532,9.50,0.422277
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,7284.772,1.083,7.46,0.000035
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
22-05-17,8.800,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rEpsa, rEpsb, rEpsc, rKd, bEpsa, bEpsb, bEpsc, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment

22-05-17,8.886,0.153,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,180.11,40.77,220.88,7.71,6.92,25.87,123,140,18190.855,16.902,10630.208,15.778,7560.647,1.124,0.0000,0.153,0.000000,0.000000,

22-05-17,8.970,0.237,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,183.27,41.48,224.76,7.71,6.91,26.00,124,141,18630.363,17.879,11312.834,16.791,7317.529,1.088,0.0000,0.000,0.000000,0.000000,

22-05-17,9.053,0.321,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,186.38,42.19,228.57,7.71,6.90,25.87,125,142,18946.664,18.236,11545.009,17.136,7401.655,1.100,0.0000,0.084,0.000000,0.000000,

22-05-17,9.137,0.405,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,189.44,42.88,232.31,7.71,6.90,26.00,126,143,19255.115,18.521,11723.495,17.401,7531.622,1.120,0.0000,0.168,0.000000,0.000000,

22-05-17,9.221,0.489,3,continuous,15180.39,22.532,7284.77,1.083,0.07523,0.07815,0.00000,0.000628,0.10930,0.17050,0.51890,0.000147,1.300,14.721,15.545,14.721,14.721,305.95,89.51,0.815,192.43,43.56,235.99,7.71,6.89,26.00,127,144,19648.158,18.881,11949.350,17.736,7698.809,1.145,0.0000,0.252,0.000000,0.000000,
