New run.
06-08-17,9.40
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
140,26,16367.502,1997.384,6.44,18.175844
rPWM,bPWM,Li_avg,Lo_avg,Li_SD,Lo_SD
27,140,8513.617,305.483,6.69,1.269720
Global parameters (Constants)
Date, tod, TCon, rPARMax, bPARMax, ConMax, rSpecLSupply, bSpecLSupply,FrR_target, rPBR, bPBR, rEpsa, rEpsb, rEpsc, bEpsa, bEpsb, bEpsc, rLambda, ra1, ra0, bLambda, ba1, ba0, rNPARa1, bNPARa1, pHMin, width, BgLo, BgLi, rPWMmin, bPWMmin, daylength
06-08-17,9.467,300000,1978.00,719.00,20.00,0.0959,0.0281,0.750,1.2351,1.5182,0.07523,0.07815,0.00000,0.10930,0.17050,0.51890,0.6650,0.0128,-1.8235,0.5179,0.0169,-2.3531,1.0410,0.9192,6.50,4.0,0.167,0.099,27,26,18.0
Continuous
Date, tod, tor, Illum, state, rLi_ref, rLo_ref, bLi_ref, bLo_ref, rKd, bKd, b_rAbs, rCon2, bCon2, rCon, bCon, rPARimax, bPARimax, FrR, rL_avail, bL_avail, L_avail, pH, pHAvg, Temp, rPWM, bPWM, LiAvg, LoAvg, rLi, rLo, bLi, bLo, Mu, TMu, ConRate, SpConRate, comment

06-08-17,9.553,0.153,3,continuous,16367.50,1997.384,8513.62,305.483,0.002520,0.000471,1.760,1.368,1.918,1.368,1.368,0.25,0.08,0.786,0.63,0.17,0.80,7.68,7.58,26.00,27,29,31.206,1.357,2.760,0.337,28.446,1.021,0.000000,0.153,0.000000,0.000000,

06-08-17,9.637,0.237,3,continuous,16367.50,1997.384,8513.62,305.483,0.002520,0.000471,1.760,1.368,1.918,1.368,1.368,0.25,0.08,0.786,0.64,0.17,0.81,7.68,7.58,26.00,27,29,0.726,2.064,23.659,2.887,-22.933,-0.823,0.000000,0.000,0.000000,0.000000,

06-08-17,9.742,0.342,3,continuous,16134.69,1646.868,8289.27,230.395,0.002520,0.000471,1.677,1.581,1.610,1.581,1.581,0.38,0.12,0.792,0.93,0.24,1.17,7.68,7.58,26.12,28,30,78.101,2.858,9.259,0.945,68.843,1.913,0.000000,0.105,0.000000,0.000000,Reset_Mu

06-08-17,9.838,0.438,3,continuous,16147.70,1659.633,8315.52,229.644,0.002200,0.000475,1.703,2.960,1.610,2.960,2.960,2.49,0.76,0.801,6.17,1.54,7.71,7.66,7.58,26.00,31,36,79.135,5.085,38.578,3.965,40.557,1.120,0.000000,0.095,0.000000,0.000000,Reset_Mu

06-08-17,9.933,0.533,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.43,1.60,8.03,7.64,7.58,26.00,31,36,88.273,4.939,34.210,3.458,54.063,1.481,0.000000,0.094,0.000000,0.000000,Reset_Mu

06-08-17,10.016,0.617,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.50,1.62,8.12,7.62,7.58,26.00,31,36,1.501,0.046,0.063,0.006,1.438,0.039,0.000000,0.000,0.000000,0.000000,

06-08-17,10.100,0.700,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.57,1.64,8.20,7.62,7.58,26.00,31,36,1.535,0.210,2.280,0.230,-0.745,-0.020,0.000000,0.084,0.000000,0.000000,

06-08-17,10.184,0.784,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.63,1.65,8.28,7.60,7.58,26.00,31,36,1.481,0.045,0.064,0.006,1.417,0.039,0.000000,0.168,0.000000,0.000000,

06-08-17,10.268,0.868,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.69,1.67,8.36,7.60,7.58,26.00,31,37,1.499,0.056,0.196,0.020,1.303,0.036,0.000000,0.251,0.000000,0.000000,

06-08-17,10.352,0.952,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.75,1.69,8.44,7.60,7.58,26.00,31,37,1.524,0.052,0.139,0.014,1.385,0.038,0.000000,0.335,0.000000,0.000000,

06-08-17,10.436,1.036,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.81,1.70,8.51,7.60,7.58,26.00,31,37,1.504,0.049,0.103,0.010,1.401,0.038,0.000000,0.419,0.000000,0.000000,

06-08-17,10.519,1.119,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.86,1.71,8.58,7.60,7.58,26.00,31,37,1.521,0.053,0.150,0.015,1.371,0.038,0.000000,0.503,0.000000,0.000000,

06-08-17,10.603,1.203,3,continuous,16194.00,1637.033,8362.88,229.072,0.002200,0.000475,1.675,2.995,2.970,2.995,2.995,2.58,0.79,0.800,6.92,1.73,8.64,7.60,7.58,26.00,31,37,1.518,0.050,0.116,0.012,1.402,0.038,0.000000,0.587,0.000000,0.000000,

